Campaign	Ad group	Keyword	Match type	Status
SiamScuba_Search_DSD	DSD_EN	discover scuba diving koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	try scuba diving koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	try diving thailand	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	scuba lesson koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	first time scuba koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	intro dive koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	dsd koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	scuba diving for beginners thailand	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	snorkel and scuba koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	padi discover scuba	Phrase	Enabled
SiamScuba_Search_DSD	DSD_EN	discover scuba diving koh tao	Exact	Enabled
SiamScuba_Search_DSD	DSD_EN	try diving koh tao	Exact	Enabled
SiamScuba_Search_DSD	DSD_EN	dsd koh tao price	Exact	Enabled
SiamScuba_Search_DSD	DSD_ES	bautismo de buceo koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	bautismo de buceo tailandia	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	primera vez buceo koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	discover scuba koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	buceo principiantes tailandia	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	iniciacion buceo koh tao	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	probar buceo tailandia	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	padi discover scuba español	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	curso introduccion buceo tailandia	Phrase	Enabled
SiamScuba_Search_DSD	DSD_ES	bautismo de buceo koh tao	Exact	Enabled
SiamScuba_Search_DSD	DSD_ES	discover scuba koh tao	Exact	Enabled
SiamScuba_Search_DSD	DSD_HE	צלילת היכרות קוטאו	Phrase	Enabled
SiamScuba_Search_DSD	DSD_HE	צלילת היכרות תאילנד	Phrase	Enabled
SiamScuba_Search_DSD	DSD_HE	צלילה ראשונה תאילנד	Phrase	Enabled
SiamScuba_Search_DSD	DSD_HE	DSD קוטאו	Phrase	Enabled
SiamScuba_Search_DSD	DSD_HE	ניסיון צלילה קוטאו	Phrase	Enabled
SiamScuba_Search_DSD	DSD_HE	צלילה למתחילים תאילנד	Phrase	Enabled
SiamScuba_Search_DSD	DSD_HE	PADI צלילת היכרות	Phrase	Enabled
SiamScuba_Search_DSD	DSD_HE	צלילת היכרות קוטאו	Exact	Enabled
SiamScuba_Search_DSD	DSD_HE	צלילת היכרות תאילנד	Exact	Enabled
SiamScuba_Search_OWD	OWD_EN	padi open water koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	open water course koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	open water diver koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	scuba certification koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	learn to scuba dive thailand	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	padi course thailand	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	owd koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	scuba diving course koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	padi open water price	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	scuba license koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_EN	padi open water koh tao	Exact	Enabled
SiamScuba_Search_OWD	OWD_EN	open water course koh tao	Exact	Enabled
SiamScuba_Search_OWD	OWD_EN	owd koh tao	Exact	Enabled
SiamScuba_Search_OWD	OWD_ES	curso open water koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_ES	curso PADI tailandia	Phrase	Enabled
SiamScuba_Search_OWD	OWD_ES	certificacion buceo koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_ES	curso buceo tailandia	Phrase	Enabled
SiamScuba_Search_OWD	OWD_ES	curso buceo koh tao	Phrase	Enabled
SiamScuba_Search_OWD	OWD_ES	PADI open water tailandia	Phrase	Enabled
SiamScuba_Search_OWD	OWD_ES	sacarse el titulo de buceo tailandia	Phrase	Enabled
SiamScuba_Search_OWD	OWD_ES	curso open water koh tao	Exact	Enabled
SiamScuba_Search_OWD	OWD_ES	PADI open water tailandia	Exact	Enabled
SiamScuba_Search_OWD	OWD_HE	קורס צלילה קוטאו	Phrase	Enabled
SiamScuba_Search_OWD	OWD_HE	קורס PADI תאילנד	Phrase	Enabled
SiamScuba_Search_OWD	OWD_HE	קורס אופן ווטר	Phrase	Enabled
SiamScuba_Search_OWD	OWD_HE	כוכב 1 תאילנד	Phrase	Enabled
