Asset type	Field 1	Field 2	Field 3	Field 4
Sitelink	Our 2 Dive Boats	Two custom boats, small groups	Not shared with other shops	https://siamscuba.com/about
Sitelink	Meet the Team	PADI instructors with 10+ yrs	Multilingual: EN / ES / HE / TH	https://siamscuba.com/about
Sitelink	Dive Sites We Cover	Sail Rock, Chumphon, Twins	Whale shark season Mar-May	https://siamscuba.com/dive-sites
Sitelink	Real Reviews	778 reviews, 5.0 on TripAdvisor	First-time divers welcome	https://siamscuba.com/about#reviews
Callout	Free re-take guarantee			
Callout	No deposit required			
Callout	Two private dive boats			
Callout	Small groups guaranteed			
Callout	PADI 5-Star Center			
Callout	WhatsApp in EN / ES / HE			
Callout	Same-day booking			
Callout	All gear included			
Structured snippet (Courses)	Discover Scuba;Open Water;Advanced Open Water;Rescue Diver;Divemaster			
Structured snippet (Service catalog)	Fun Dives;Sail Rock Trip;Night Dives;Private Guide			
