Action,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget Type,Bid Strategy Type,Networks,Languages,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Criterion Status,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2
Add,Campaign,SiamScuba_Search_DSD,Search,Paused,65,Daily,Maximize Conversions,Google search;Search partners,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Campaign,SiamScuba_Search_OWD,Search,Paused,65,Daily,Maximize Conversions,Google search;Search partners,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Campaign,SiamScuba_Search_FunDive,Search,Paused,65,Daily,Maximize Conversions,Google search;Search partners,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_DSD,,,,,,,,DSD_EN,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_DSD,,,,,,,,DSD_ES,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_DSD,,,,,,,,DSD_HE,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_OWD,,,,,,,,OWD_EN,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_OWD,,,,,,,,OWD_ES,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_OWD,,,,,,,,OWD_HE,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_FunDive,,,,,,,,FUN_EN,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_FunDive,,,,,,,,FUN_ES,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,SiamScuba_Search_FunDive,,,,,,,,FUN_HE,Paused,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,discover scuba diving koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,try scuba diving koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,try diving thailand,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,scuba lesson koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,first time scuba koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,intro dive koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,dsd koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,scuba diving for beginners thailand,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,snorkel and scuba koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,padi discover scuba,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,discover scuba diving koh tao,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,try diving koh tao,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_EN,,,dsd koh tao price,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,bautismo de buceo koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,bautismo de buceo tailandia,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,primera vez buceo koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,discover scuba koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,buceo principiantes tailandia,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,iniciacion buceo koh tao,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,probar buceo tailandia,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,padi discover scuba español,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,curso introduccion buceo tailandia,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,bautismo de buceo koh tao,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_ES,,,discover scuba koh tao,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,צלילת היכרות קוטאו,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,צלילת היכרות תאילנד,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,צלילה ראשונה תאילנד,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,DSD קוטאו,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,ניסיון צלילה קוטאו,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,צלילה למתחילים תאילנד,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,PADI צלילת היכרות,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,צלילת היכרות קוטאו,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,SiamScuba_Search_DSD,,,,,,,,DSD_HE,,,צלילת היכרות תאילנד,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
